Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance
2/1/2015,40.15248108,40.7192183,39.96357086,27913900,,40.15248108,,0,0,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
5/1/2015,39.78324127,40.12671645,39.71454427,39673900,,40.11731538,,-0.029455027,-0.005891005,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
6/1/2015,39.19933319,40.14389409,39.10487645,36447900,,40.02988851,,-0.09877622,-0.024468048,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
7/1/2015,39.69737625,39.89487524,39.06194528,29114100,,39.99822067,,-0.11223211,-0.042020861,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
8/1/2015,40.86520386,41.00259462,40.11814179,29645200,,40.0807905,,-0.028335439,-0.039283776,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
9/1/2015,40.52172852,41.06270612,40.27270999,23944200,,40.1227846,,0.01031874,-0.029363273,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
12/1/2015,40.01509857,40.82227221,39.80901405,23651900,,40.11252879,,7.08E-05,-0.023476451,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
13/1/2015,39.80900574,41.13997916,39.55139851,35270600,,40.08362183,,-0.02439941,-0.023661043,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
14/1/2015,39.4655304,39.70596667,39.17357464,29719600,,40.02475598,,-0.070692941,-0.033067423,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
15/1/2015,39.05335999,39.82618505,38.99325173,32750800,,39.93224207,,-0.139036875,-0.054261313,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
16/1/2015,39.70596313,39.74030836,38.78715867,35695300,,39.9106917,,-0.138938716,-0.071196794,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
20/1/2015,39.83476257,40.05802456,39.13063467,36161900,,39.90346035,,-0.127003864,-0.082358208,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
21/1/2015,39.43117523,39.62008871,39.05335155,39081100,,39.85848082,,-0.148400861,-0.095566738,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
22/1/2015,40.47019958,40.47878507,39.56857264,35898000,,39.91673975,52.38711038,-0.080588579,-0.092571106,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
23/1/2015,40.513134,40.69345874,40.18682976,26211600,,39.9735392,52.6923193,-0.023115941,-0.078680073,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
26/1/2015,40.36714935,40.47019485,39.70595874,42525500,,40.01102588,54.50925194,0.010530409,-0.060837977,418.4498901,3.11074E+12,N/A,N/A,,"Ticker
MSFT    34.545215
dtype: float64 - Ticker
MSFT    466.57345
dtype: float64",,,
