Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance,Change %,10 yr %,Day %
13/2/2015,4893.839844,4893.839844,4860.120117,1942240000,4728.587012,4748.801408,60.41248465,37.08158389,16.37578728,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.75%,104%,1%
17/2/2015,4899.27002,4901.890137,4880.640137,1751490000,4741.831519,4763.131752,71.7166238,44.20403642,21.94143711,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.11%,104%,0%
18/2/2015,4906.359863,4907.5,4885.600098,1684800000,4754.407007,4776.772524,78.85879787,49.84612737,27.52237516,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.14%,104%,0%
19/2/2015,4924.700195,4929.529785,4900.629883,1592890000,4767.271021,4790.860874,77.551405,55.1615684,33.05021381,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.37%,104%,1%
20/2/2015,4955.970215,4957.02002,4905.589844,1761140000,4777.549536,4806.585573,88.09228603,61.19194035,38.67855912,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.63%,105%,1%
23/2/2015,4960.970215,4960.970215,4939.560059,1754850000,4787.704053,4821.288872,86.9635828,65.61810709,44.06646871,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.10%,105%,0%
24/2/2015,4968.120117,4971.180176,4945.140137,1834890000,4797.52207,4835.2728,85.2835019,68.90847943,49.03487086,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.14%,105%,1%
25/2/2015,4967.140137,4984.240234,4956,1848560000,4811.804077,4847.831594,87.87880578,70.62294958,53.3524866,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.02%,105%,1%
26/2/2015,4987.890137,4989.109863,4955.509766,1905550000,4829.299072,4861.170503,86.77244754,72.81664614,57.24531851,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.42%,106%,1%
27/2/2015,4963.529785,4989.25,4960.870117,1955590000,4843.305054,4870.919006,85.73653683,71.76225903,60.14870661,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.49%,105%,1%
2/3/2015,5008.100098,5008.569824,4972.009766,1931110000,4861.948047,4883.983872,92.38505389,73.67383527,62.85373234,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.90%,106%,1%
3/3/2015,4979.899902,4996.660156,4956.069824,2018900000,4877.108545,4893.118732,82.11385694,72.08233287,64.69945245,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.56%,105%,1%
4/3/2015,4967.140137,4973.319824,4938.899902,1824830000,4889.07854,4900.16839,77.79335091,68.99610514,65.55878299,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.26%,105%,1%
5/3/2015,4982.810059,4993.52002,4963.100098,1724200000,4902.384033,4908.039025,74.28235374,67.04186232,65.85539885,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.32%,105%,1%
6/3/2015,4927.370117,4982.930176,4918.629883,1918220000,4910.497534,4909.880081,56.05216122,60.32419113,64.74915731,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.11%,104%,1%
9/3/2015,4942.439941,4950.470215,4920.819824,1696510000,4920.399536,4912.98102,57.53006507,55.57575449,62.91447675,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.31%,105%,1%
10/3/2015,4859.790039,4903.439941,4859.790039,1876010000,4927.08855,4907.915213,43.57144109,44.62897284,59.25737596,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.67%,103%,1%
11/3/2015,4849.939941,4876.089844,4846.790039,1846020000,4930.20354,4902.393758,39.43228988,34.75807944,54.35751666,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.20%,103%,1%
12/3/2015,4893.290039,4895.799805,4853.200195,1855110000,4934.809033,4901.526737,41.4324596,30.08649749,49.50331283,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.89%,104%,1%
13/3/2015,4871.759766,4904.470215,4842.799805,1851410000,4935.516528,4898.691788,38.33333546,24.3660454,44.47585934,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.44%,103%,1%
16/3/2015,4929.509766,4929.939941,4889.089844,1713480000,4937.300024,4901.626833,45.5408158,24.21337159,40.42336179,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.19%,104%,1%
17/3/2015,4937.430176,4944.910156,4907.02002,1724370000,4939.208032,4905.036675,46.62287868,24.44964709,37.22861885,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.16%,104%,1%
18/3/2015,4982.830078,5001.569824,4907.720215,1983570000,4943.031543,4912.445571,49.45534662,27.9777794,35.37845096,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.92%,105%,2%
19/3/2015,4992.379883,5000.02002,4979.939941,1674970000,4946.415527,4920.058362,53.20763034,31.18495831,34.53975243,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.19%,106%,0%
20/3/2015,5026.419922,5042.140137,5020.069824,2825670000,4949.938013,4930.188035,52.08568433,36.05776589,34.84335512,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.68%,106%,0%
23/3/2015,5010.970215,5031.390137,5010.970215,1608880000,4952.438013,4937.881576,53.64307568,38.23212266,35.52110863,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.31%,106%,0%
